1,Plain Fried Rice,净炒饭,1
2,Chicken Fried Rice,鸡炒饭,1
3,Pork Fried Rice,叉烧炒饭,1
4,Vegetable Fried Rice,菜炒饭,1
5,Shrimp Fried Rice,虾炒饭,1
6,Beef Fried Rice,牛炒饭,1
7,House Fried Rice,本楼炒饭,1
8,Chicken,鸡,2
9,Shrimp,虾,2
10,Beef,牛,2
11,Scallop,干贝,2
12,Pork,叉烧,2
13,White Meat Chicken,白肉,2
14,Vegetable,菜,3
15,Bean Sprout,芽菜,3
16,Mushroom,蘑菇,3
17,Broccoli,芥蓝,3
18,Carrot,萝卜,3
19,Onion,洋葱,3
20,Scallioin,青葱,3
21,Spicy,辣,4
22,Salt,盐,4
23,MSG,味精,4
24,Sugar,糖,4
25,Black Bean,豆豉,4
26,Garlic,蒜头,4
27,Plain Lo Mein,净捞面,5
28,Chicken Lo Mein,鸡捞面,5
29,Pork Lo Mein,叉烧捞面,5
30,Vegetable Lo Mein,菜捞面,5
31,Shrimp Lo Mein,虾捞面,5
32,Beef Lo Mein,牛捞面,5
33,House Lo Mein,本楼捞面,5
